day_of_year,mean,min,max
1,7735.333333,6629,9083
2,9605.533333,6540,11807
3,11341,6988,13691
4,11444.2,7283,13799
5,11112.13333,7174,13960
6,10944.46667,7271,13222
7,11174.8,7580,13119
8,10871.86667,6887,13336
9,10922.53333,6933,13237
10,11423.53333,6963,13617
11,11353.26667,7122,13517
12,11065,7297,13400
13,10619.26667,7092,12639
14,11226,7653,13013
15,10753.33333,6899,13344
16,10869.6,7046,13183
17,11285.33333,7131,13332
18,11237,7151,13495
19,10789.53333,6924,13125
20,10822.13333,7001,13040
21,10981.26667,7563,12822
22,10856.73333,6816,13297
23,11151.66667,7005,13458
24,11445.6,7014,13485
25,11281.46667,7261,13448
26,10939.53333,7389,13110
27,10839.66667,6916,13107
28,11033.06667,7633,12703
29,10752.8,6733,13412
30,11029.26667,6888,13486
31,11265.6,6832,13308
32,11296.26667,7255,13557
33,11071.06667,7265,13305
34,10883.6,6876,13330
35,11110.73333,7628,12894
36,10892.73333,6733,13447
37,11075,7109,13495
38,11575.13333,6893,13636
39,11394.33333,7440,13582
40,10952.73333,7060,13419
41,11031.06667,6735,13612
42,11225.4,7563,13219
43,11118.2,7012,13867
44,10863.8,6853,13437
45,11998.53333,7167,14207
46,11519.86667,7434,13696
47,11011.6,7259,13517
48,10872.6,7044,13218
49,11135.8,7555,13324
50,10846,6905,13548
51,11150.8,7056,13466
52,11366.66667,7211,13507
53,11424.33333,7286,13748
54,10995.46667,7092,13347
55,10884.4,6914,13110
56,11172.93333,7725,13084
57,10887.53333,6707,13500
58,11103.2,6989,13591
59,11395.13333,6895,13674
60,11168.46667,7301,13572
61,11072.66667,7267,13244
62,11063.06667,7098,13265
63,11206.26667,7566,12903
64,10991.53333,7021,13622
65,11135.53333,6950,13551
66,11473.06667,6887,13520
67,11285.93333,7304,13751
68,10973.86667,6789,13508
69,10934.46667,6610,13568
70,11134,7390,12999
71,10957.4,6497,13571
72,10966.86667,6557,13353
73,11413.86667,6808,13358
74,11296.53333,7130,13471
75,10960,6973,13286
76,11047.4,7134,13542
77,11230,7526,13006
78,10906.4,6918,13766
79,11285,7024,13844
80,11604.8,6992,13710
81,11283.8,7168,13388
82,10948.93333,7147,13464
83,10877.13333,6956,13309
84,11160.53333,7785,13054
85,10902.66667,6915,13572
86,11118.86667,6871,13664
87,11452.8,6922,13420
88,11163.33333,7348,13171
89,10907.8,7215,13138
90,10770.13333,6735,13136
91,10597.6,7212,12542
92,10896.33333,6909,13233
93,11218.73333,7028,13504
94,11584.53333,6721,13729
95,11327.6,7238,13405
96,10881.33333,7127,13200
97,10807.4,6796,13589
98,11084.53333,6903,13177
99,10883.26667,6545,13526
100,11038.33333,6861,13564
101,11455,6907,13504
102,11235.06667,6864,13609
103,10638.26667,7181,12853
104,10739.2,6898,13415
105,11070.4,7225,13063
106,10911.6,6951,13274
107,11147.53333,6939,13604
108,11367,6978,13415
109,11218.86667,7309,13358
110,10910.46667,6877,13157
111,10849.2,6722,13273
112,11015.4,7590,12958
113,10835.06667,6843,13428
114,11049.6,6570,13519
115,11432.4,6965,13368
116,11185.73333,7198,13157
117,10865,7184,13120
118,10795.4,6852,13243
119,10953.66667,7409,12756
120,10711.26667,6713,13313
121,11210.93333,6926,13902
122,11493.13333,6922,13520
123,11278.33333,7220,13155
124,10839.53333,7171,12941
125,10963.26667,6609,14357
126,11135,7476,13165
127,10915.46667,6868,13416
128,11181.4,6972,13267
129,11440.73333,6823,13387
130,11364.8,7339,13504
131,10984.93333,7145,13070
132,10957,7060,13415
133,10934.2,7260,12989
134,10989.26667,6909,13238
135,11388.73333,7061,13995
136,11690.86667,7022,13723
137,11456.2,7256,13659
